Latitude,Longitude
"40,63754864","-80,53384066"
"40,61278153","-80,56261444"
"40,6346283","-80,5737686"
"40,6572609","-80,5746994"
"40,67205","-80,57644"
"40,67375345","-80,57714828"
"40,673","-80,5786"
"40,62010143","-80,57962596"
"40,62286","-80,5800018"
"40,67311469","-80,58099642"
"40,671127","-80,583375"
"40,67058","-80,58502"
"40,6699715","-80,5858688"
"40,6646881","-80,5889511"
"40,61887741","-80,5981369"
"40,6182044","-80,6029353"
"40,66428","-80,62041"
"40,61352181","-80,64130068"
"40,60974553","-80,64221866"
"40,60917422","-80,64264581"
"40,6068802","-80,6445999"
"40,60082115","-80,65226555"
"35,18665021","-80,68764129"
"35,2118636","-80,690333"
"35,2115881","-80,6935672"
"35,12835338","-80,7007552"
"35,11984","-80,71366"
"35,19981","-80,7250671"
"35,1844788","-80,7297516"
"35,13538","-80,73656"
"35,2372704","-80,7370987"
"35,32591248","-80,73970795"
"35,2032244","-80,74273384"
"35,20396","-80,74419"
"35,1474495","-80,7456207"
"35,29289","-80,75211"
"35,24611","-80,7528899"
"35,24797685","-80,75318098"
"35,247293","-80,753336"
"35,183439","-80,7565317"
"35,18736","-80,75768"
"35,1832647","-80,75938632"
"35,2032998","-80,7604348"
"35,2110901","-80,7606583"
"35,2903684","-80,7662655"
"35,27308273","-80,76805878"
"35,21384","-80,7719"
"35,24901","-80,77957"
"35,21143243","-80,7818605"
"35,24574","-80,78269"
"35,2113299","-80,7833799"
"35,246376","-80,787063"
"35,256062","-80,791588"
"35,21789","-80,79252"
"35,21705","-80,7927"
"35,2177467","-80,7934366"
"35,267124","-80,794456"
"35,21274567","-80,79659271"
"35,1912193","-80,7967224"
"35,1912207","-80,7967231"
"35,2263714","-80,7990185"
"35,2070999","-80,7992783"
"35,19728897","-80,79982367"
"35,197326","-80,800025"
"35,21909","-80,81372"
"35,212494","-80,8179733"
"35,1975399","-80,82541"
"35,15488815","-80,82566071"
"35,15504456","-80,82610321"
"35,25051498","-80,82709503"
"35,21375","-80,8291799"
"35,2468224","-80,8301239"
"35,21627","-80,83098"
"35,1552505","-80,8334198"
"35,22786","-80,83535"
"35,20310966","-80,8378548"
"35,22285843","-80,83795929"
"35,22287","-80,83796"
"35,22516","-80,83926"
"35,1304","-80,8393"
"35,17471885","-80,83958684"
"35,1320288","-80,8398637"
"35,15285","-80,8404599"
"35,15089","-80,84061"
"35,2087402","-80,8406601"
"35,22959","-80,84097"
"35,2262582","-80,8417398"
"35,22683204","-80,84305736"
"35,2270869","-80,8431267"
"35,22538","-80,84397"
"35,23039","-80,84439"
"35,23025","-80,84495"
"35,22552609","-80,84562466"
"35,2221416","-80,8460048"
"35,21708089","-80,8479956"
"35,21719","-80,8524599"
"35,22829","-80,85449"
"35,21639","-80,85476"
"35,2166","-80,85654"
"35,2179191","-80,8566712"
"35,2472305","-80,8571091"
"35,21253","-80,85751"
"35,22059","-80,85781"
"35,21391678","-80,85810852"
"35,24113897","-80,85829295"
"35,21920478","-80,86084963"
"35,2043938","-80,86397898"
"35,19241","-80,87323"
"35,12807007","-80,87486811"
"35,12796","-80,87492"
"35,15245287","-80,87658204"
"35,1375737","-80,8783383"
"35,1375732","-80,8783493"
"35,2239826","-80,8796143"
"35,13422","-80,89342"
"35,20909","-80,92234"
"40,65537098","-81,46510252"
"40,45126724","-81,62930298"
"40,50886917","-81,63845825"
"40,51049042","-81,65277863"
"40,0012817","-81,6804886"
"40,44066","-81,70351"
"40,210531","-81,722155"
"39,99369711","-81,73447453"
"40,27479","-81,7469"
"40,27556","-81,75085"
"40,2764587","-81,8472519"
"40,26445","-81,84774"
"40,27405548","-81,85656738"
"40,27229","-81,86097"
"40,27384567","-81,86392212"
"40,26085","-81,86818"
"40,2674484","-81,8688431"
"40,2667503","-81,8688812"
"40,2617","-81,86911"
"40,2729","-81,8692"
"40,2691002","-81,8693085"
"40,2716904","-81,8694305"
"40,2656","-81,86947"
"40,27519964","-81,87016815"
"40,2792244","-81,87610626"
"39,96495438","-81,89805603"
"39,96405884","-81,90334"
"39,93452","-81,9745499"
"39,94266406","-81,98090248"
"40,50316796","-81,9818788"
"39,93861534","-82,00555198"
"40,33509293","-82,00592581"
"40,118998","-82,007311"
"40,12086696","-82,00977612"
"39,9643","-82,0098"
"39,97077181","-82,01007729"
"39,9667511","-82,01026154"
"39,97539","-82,0103"
"40,12191","-82,01167"
"39,9163257","-82,0128473"
"39,9152","-82,01399"
"39,9147431","-82,0140753"
"39,97795487","-82,01560211"
"39,907895","-82,017183"
"39,90844","-82,01885"
"39,90556717","-82,01947784"
"39,98753","-82,02192"
"39,98772","-82,02635"
"39,95884","-82,0279"
"39,99912","-82,02835"
"39,89744008","-82,03527991"
"40,0371208","-82,0435486"
"39,9549251","-82,0736815"
"40,1411705","-82,0819778"
"40,11892","-82,11568"
"40,11746","-82,11726"
"40,44084","-82,25934"
"40,4461174","-82,26009369"
"40,07833806","-82,26845378"
"40,40935","-82,3505799"
"40,06178","-82,36387"
"40,06101653","-82,36402519"
"40,06067","-82,36433"
"40,06568146","-82,38587189"
"40,06083","-82,38616"
"40,05658722","-82,39981842"
"40,056217","-82,400467"
"40,0476376","-82,404669"
"39,91289171","-82,40867525"
"39,9131203","-82,4122391"
"40,04869","-82,41343"
"40,06239","-82,4161699"
"40,05415","-82,41744"
"40,0847376","-82,4177587"
"40,17353058","-82,41825104"
"39,89629","-82,42091"
"40,0861868","-82,4248208"
"40,09771","-82,42591"
"40,0818545","-82,4277478"
