Lfd. Nr.,Stadt,Postleitzahl,Fläche km,Bevölkerung gesamt,Bevölkerung männlich,Bevölkerung weiblich,Bevölkerung je km2
203,"Freising, GKSt",85354,"88,59",47.848,24.051,23.797,"540,00"
204,"Bornheim, Stadt",53332,"82,69",47.749,23.342,24.407,"577,00"
205,"Leonberg, Stadt",71229,"48,73",47.744,23.707,24.037,"980,00"
206,"Singen (Hohentwiel), Stadt",78224,"61,77",47.603,23.154,24.449,"771,00"
207,"Soest, Stadt",59494,"85,81",47.436,22.876,24.560,"553,00"
208,"Gronau (Westf.), Stadt",48599,"78,82",47.287,23.547,23.740,"600,00"
209,"Hennef (Sieg), Stadt",53773,"105,89",47.237,23.043,24.194,"446,00"
210,"Stade, Hansestadt",21682,"110,07",47.194,23.073,24.121,"429,00"
211,Straubing,94315,"67,59",47.142,23.683,23.459,"697,00"
212,"Dachau, GKSt",85221,"34,96",46.914,23.000,23.914,1.342
213,"Neunkirchen, Kreisstadt",66538,"75,26",46.816,23.072,23.744,"622,00"
214,"Schwerte, Hansestadt an der Ruhr",58239,"56,23",46.754,22.810,23.944,"832,00"
215,"Alsdorf, Stadt",52477,"31,68",46.712,23.160,23.552,1.475
216,"Herzogenrath, Stadt",52134,"33,38",46.612,22.692,23.920,1.396
217,"Dülmen, Stadt",48249,"184,83",46.523,22.627,23.896,"252,00"
218,"Wittenberg, Lutherstadt",6886,"240,41",46.276,22.320,23.956,"192,00"
219,"Melle, Stadt",49324,"253,95",46.228,22.900,23.328,"182,00"
220,"Landau in der Pfalz, Stadt",76829,"82,94",46.006,21.759,24.247,"555,00"
221,"Oberursel (Taunus), Stadt",61440,"45,37",45.849,22.195,23.654,1.011
222,"Lahr/Schwarzwald, Stadt",77933,"69,84",45.784,22.740,23.044,"656,00"
223,"Bünde, Stadt",32257,"59,3",45.639,22.245,23.394,"770,00"
224,"Fellbach, Stadt",70734,"27,71",45.438,22.007,23.431,1.640
225,"Filderstadt, Stadt",70794,"38,55",45.389,22.513,22.876,1.177
226,Hof,95028,"58,02",45.183,21.631,23.552,"779,00"
227,"Gotha, Stadt",99867,"69,58",45.172,22.206,22.966,"649,00"
228,"Weinheim, Stadt",69469,"58,11",44.954,21.954,23.000,"774,00"
229,"Albstadt, Stadt",72458,"134,4",44.696,22.020,22.676,"333,00"
230,"Rodgau, Stadt",63110,"65,04",44.465,22.086,22.379,"684,00"
231,"Erkrath, Fundort des Neanderthalers, Stadt",40699,"26,88",44.413,21.369,23.044,1.652
232,"Brühl, Stadt",50321,"36,12",44.294,21.130,23.164,1.226
233,"Bruchsal, Stadt",76646,"93,19",44.266,22.208,22.058,"475,00"
234,"Rottenburg am Neckar, Stadt",72108,"142,26",44.203,22.135,22.068,"311,00"
235,"Oranienburg, Stadt",16515,"163,66",44.079,21.618,22.461,"269,00"
236,"Neustadt am Rübenberge, Stadt",31535,"358,96",43.902,21.771,22.131,"122,00"
237,"Lehrte, Stadt",31275,"127,67",43.720,21.685,22.035,"342,00"
238,"Kamen, Stadt",59174,"40,95",43.672,21.423,22.249,1.066
239,"Erkelenz, Stadt",41812,"117,34",43.388,21.204,22.184,"370,00"
240,Memmingen,87700,"70,11",43.293,21.331,21.962,"617,00"
241,"Kaarst, Stadt",41564,"37,39",43.218,20.748,22.470,1.156
242,Kaufbeuren,87600,"40,02",43.134,21.192,21.942,1.078
243,"Falkensee, Stadt",14612,"43,27",43.105,21.107,21.998,"996,00"
244,"Bietigheim-Bissingen, Stadt",74321,"31,29",43.068,21.239,21.829,1.376
245,"Wismar, Hansestadt",23952,"41,72",42.992,21.023,21.969,1.031
246,"Halberstadt, Stadt",38820,"142,98",42.980,22.117,20.863,"301,00"
247,"Pinneberg, Stadt",25421,"21,54",42.638,20.701,21.937,1.979
248,"Eisenach, Stadt",99817,"104,17",42.588,20.969,21.619,"409,00"
249,Weiden i.d.OPf.,92637,"70,57",42.494,20.457,22.037,"602,00"
250,"Borken, Stadt",46325,"152,97",42.388,20.838,21.550,"277,00"
251,Amberg,92224,"50,13",42.348,20.901,21.447,"845,00"
252,"Nordhausen, Stadt",99734,"105,62",42.129,20.660,21.469,"399,00"
253,"Nettetal, Stadt",41334,"83,87",42.093,20.804,21.289,"502,00"
254,"Homburg, Kreisstadt",66424,"82,61",42.040,20.562,21.478,"509,00"
255,"Gifhorn, Stadt",38518,"105,39",42.019,20.753,21.266,"399,00"
256,"Aurich, Stadt",26603,"197,29",41.793,20.579,21.214,"212,00"
257,"Freiberg, Stadt, Universitätsstadt",9599,"48,32",41.642,20.955,20.687,"862,00"
258,Ansbach,91522,"99,91",41.532,19.885,21.647,"416,00"
259,"Wunstorf, Stadt",31515,"125,74",41.478,20.210,21.268,"330,00"
260,"Heinsberg, Stadt",52525,"92,21",41.471,20.386,21.085,"450,00"
261,"Laatzen, Stadt",30880,"34,16",41.389,20.031,21.358,1.212
262,"Lemgo, Stadt",32657,"100,85",41.087,20.309,20.778,"407,00"
263,Coburg,96450,"48,29",41.071,19.929,21.142,"851,00"
264,"Dreieich, Stadt",63303,"53,3",41.042,20.125,20.917,"770,00"
265,"Siegburg, Stadt",53721,"23,66",41.034,20.149,20.885,1.734
266,"Königswinter, Stadt",53639,"76,17",40.927,19.936,20.991,"537,00"
267,"Monheim am Rhein, Stadt",40789,"23,05",40.814,19.633,21.181,1.771
268,"Nürtingen, Stadt",72622,"46,88",40.752,20.364,20.388,"869,00"
269,Schwabach,91126,"40,8",40.707,19.821,20.886,"998,00"
270,"Weißenfels, Stadt",6667,"113,55",40.671,20.632,20.039,"358,00"
271,"Pirmasens, Stadt",66953,"61,36",40.416,19.684,20.732,"659,00"
272,"Bensheim, Stadt",64625,"57,83",40.168,19.662,20.506,"695,00"
273,"Stendal, Hansestadt",39576,"268,02",40.164,19.671,20.493,"150,00"
274,"Kirchheim unter Teck, Stadt",73230,"40,47",40.130,19.826,20.304,"991,00"
275,"Germering, GKSt",82110,"21,6",40.039,19.296,20.743,1.853
276,"Buxtehude, Hansestadt",21614,"76,69",40.033,19.907,20.126,"522,00"
277,"Eberswalde, Stadt",16225,"93,64",40.019,19.708,20.311,"427,00"
278,"Bautzen, Stadt",2625,"66,69",39.963,19.425,20.538,"599,00"
279,"Bitterfeld-Wolfen, Stadt",6766,"86,96",39.843,19.252,20.591,"458,00"
280,"Löhne, Stadt",32584,"59,51",39.767,19.457,20.310,"668,00"
281,"Leinfelden-Echterdingen, Stadt",70771,"29,89",39.688,19.732,19.956,1.328
282,"Völklingen, Stadt",66333,"67,1",39.574,19.277,20.297,"590,00"
283,"Neumarkt i.d.OPf., GKSt",92318,"79,01",39.573,19.306,20.267,"501,00"
284,"Schorndorf, Stadt",73614,"56,83",39.520,19.385,20.135,"695,00"
285,"Hofheim am Taunus, Kreisstadt",65719,"57,38",39.517,19.265,20.252,"689,00"
286,"Hückelhoven, Stadt",41836,"61,27",39.423,19.502,19.921,"643,00"
287,"Freital, Stadt",1705,"40,45",39.361,19.177,20.184,"973,00"
288,"Ettlingen, Stadt",76275,"56,75",39.332,19.208,20.124,"693,00"
289,"Schwäbisch Hall, Stadt",74523,"104,24",39.328,19.058,20.270,"377,00"
290,"Ahaus, Stadt",48683,"151,24",39.314,19.651,19.663,"260,00"
291,"Ostfildern, Stadt",73760,"22,81",38.835,19.188,19.647,1.702
292,"Würselen, Stadt",52146,"34,39",38.823,19.033,19.790,1.129
293,"Maintal, Stadt",63477,"32,4",38.739,19.085,19.654,1.196
294,"Mettmann, Stadt",40822,"42,56",38.734,18.661,20.073,"910,00"
295,"Buchholz in der Nordheide, Stadt",21244,"74,76",38.689,18.512,20.177,"518,00"
296,"Pirna, Stadt",1796,"53,06",38.187,18.556,19.631,"720,00"
297,"Haltern am See, Stadt",45721,"159,03",37.893,18.455,19.438,"238,00"
298,"Niederkassel, Stadt",53859,"35,79",37.828,18.674,19.154,1.057
299,"Bernau bei Berlin, Stadt",16321,"104,17",37.725,18.378,19.347,"362,00"
300,"Neu-Isenburg, Stadt",63263,"24,31",37.563,18.508,19.055,1.545
301,"Kamp-Lintfort, Stadt",47475,"63,14",37.414,18.402,19.012,"593,00"
302,"Langen (Hessen), Stadt",63225,"29,12",37.252,18.343,18.909,1.279
303,"Fürstenfeldbruck, GKSt",82256,"32,53",37.176,18.425,18.751,1.143
304,"Warendorf, Stadt",48231,"176,88",37.127,18.041,19.086,"210,00"
305,"Greven, Stadt",48268,"140,26",37.097,18.318,18.779,"264,00"
306,"Beckum, Stadt",59269,"111,46",36.729,18.170,18.559,"330,00"
307,"Papenburg, Stadt",26871,"118,44",36.698,18.645,18.053,"310,00"
308,"Backnang, Stadt",71522,"39,38",36.633,18.172,18.461,"930,00"
309,"Königs Wusterhausen, Stadt",15711,"96,04",36.468,17.909,18.559,"380,00"
310,"Coesfeld, Stadt",48653,"141,36",36.374,17.907,18.467,"257,00"
311,"Erding, GKSt",85435,"54,61",36.291,17.565,18.726,"665,00"
312,"Emsdetten, Stadt",48282,"72,06",36.288,18.025,18.263,"504,00"
313,"Voerde (Niederrhein), Stadt",46562,"53,49",36.273,17.748,18.525,"678,00"
314,"St. Ingbert, Stadt",66386,"49,95",36.069,17.305,18.764,"722,00"
315,"Wesseling, Stadt",50389,"23,37",35.768,17.691,18.077,1.530
316,"Porta Westfalica, Stadt",32457,"105,22",35.698,17.648,18.050,"339,00"
317,"Suhl, Stadt",98527,"103,03",35.608,17.337,18.271,"346,00"
318,"Sinsheim, Stadt",74889,"126,99",35.410,17.681,17.729,"279,00"
319,"Kehl, Stadt",77694,"75,07",35.391,17.487,17.904,"471,00"
320,"Lage, Stadt",32791,"76,04",35.099,17.317,17.782,"462,00"
321,"Tuttlingen, Stadt",78532,"90,45",34.946,17.378,17.568,"386,00"
322,"Meppen, Stadt",49716,"188,4",34.935,17.210,17.725,"185,00"
323,"Kempen, Stadt",47906,"68,8",34.865,16.997,17.868,"507,00"
324,"Saarlouis, Kreisstadt",66740,"43,28",34.849,16.960,17.889,"805,00"
325,"Limburg a.d. Lahn, Kreisstadt",65549,"45,15",34.808,17.183,17.625,"771,00"
326,"Wermelskirchen, Stadt",42929,"74,8",34.638,16.917,17.721,"463,00"
327,"Datteln, Stadt",45711,"66,1",34.555,16.930,17.625,"523,00"
328,"Zweibrücken, Stadt",66482,"70,64",34.428,17.012,17.416,"487,00"
329,"Winsen (Luhe), Stadt",21423,"109,79",34.284,16.838,17.446,"312,00"
330,"Cloppenburg, Stadt",49661,"70,86",34.216,16.825,17.391,"483,00"
331,"Mörfelden-Walldorf, Stadt",64546,"44,15",34.135,17.211,16.924,"773,00"
332,"Leer (Ostfriesland), Stadt",26789,"70,11",34.129,17.008,17.121,"487,00"
333,"Viernheim, Stadt",68519,"48,4",34.100,16.734,17.366,"705,00"
334,"Merseburg, Stadt",6217,"53,76",33.931,16.526,17.405,"631,00"
335,"Barsinghausen, Stadt",30890,"102,81",33.922,16.739,17.183,"330,00"
336,"Dietzenbach, Kreisstadt",63128,"21,67",33.903,16.934,16.969,1.564
337,"Radebeul, Stadt",1445,"26,14",33.826,16.333,17.493,1.294
338,"Hemer, Stadt4)",58675,"67,66",/,/,/,/
339,"Geldern, Stadt",47608,"96,97",33.778,16.901,16.877,"348,00"
340,"Seelze, Stadt",30926,"54,08",33.763,16.704,17.059,"624,00"
341,"Balingen, Stadt",72336,"90,32",33.750,16.407,17.343,"374,00"
342,"Crailsheim, Stadt",74564,"109,08",33.735,16.962,16.773,"309,00"
343,"Goch, Stadt",47574,"115,43",33.701,16.885,16.816,"292,00"
344,"Uelzen, Hansestadt",29525,"136,84",33.633,16.338,17.295,"246,00"
345,"Steinfurt, Stadt",48565,"111,67",33.633,16.678,16.955,"301,00"
346,"Hoyerswerda, Stadt",2977,"95,53",33.552,16.132,17.420,"351,00"
347,"Bernburg (Saale), Stadt",6406,"113,48",33.536,16.409,17.127,"296,00"
348,"Kornwestheim, Stadt",70806,"14,65",33.502,16.599,16.903,2.287
349,"Bad Vilbel, Stadt",61118,"25,68",33.458,16.229,17.229,1.303
350,"Wedel, Stadt",22880,"33,82",33.322,16.155,17.167,"985,00"
351,"Mühlhausen/Thüringen, Stadt",99974,"86,74",33.214,16.080,17.134,"383,00"
352,"Korschenbroich, Stadt",41352,"55,26",32.947,16.040,16.907,"596,00"
353,"Ahrensburg, Stadt",22926,"35,3",32.936,15.630,17.306,"933,00"
354,"Wernigerode, Stadt",38855,"170,18",32.911,15.624,17.287,"193,00"
355,"Rheinfelden (Baden), Stadt",79618,"62,82",32.804,16.069,16.735,"522,00"
356,"Altenburg, Stadt",4600,"45,69",32.788,15.888,16.900,"718,00"
357,"Naumburg (Saale), Stadt",6618,"129,9",32.784,15.889,16.895,"252,00"
358,"Deggendorf, GKSt",94469,"77,14",32.782,16.090,16.692,"425,00"
359,"Biberach an der Riß, Stadt",88400,"72,15",32.704,16.108,16.596,"453,00"
360,"Lampertheim, Stadt",68623,"72,28",32.554,16.113,16.441,"450,00"
361,"Jülich, Stadt",52428,"90,39",32.454,16.197,16.257,"359,00"
362,"Vechta, Stadt",49377,"87,88",32.179,15.943,16.236,"366,00"
363,"Fürstenwalde/Spree, Stadt",15517,"70,68",32.025,15.884,16.141,"453,00"
364,"Delbrück, Stadt",33129,"157,28",31.949,16.295,15.654,"203,00"
365,"Forchheim, GKSt",91301,"44,45",31.942,15.366,16.576,"719,00"
366,"Bad Nauheim, Stadt",61231,"32,54",31.924,15.040,16.884,"981,00"
367,"Itzehoe, Stadt",25524,"28,03",31.896,15.266,16.630,1.138
368,"Georgsmarienhütte, Stadt",49124,"55,45",31.594,15.471,16.123,"570,00"
369,"Oer-Erkenschwick, Stadt",45739,"38,66",31.569,15.639,15.930,"817,00"
370,"Achim, Stadt",28832,"68,06",31.422,15.276,16.146,"462,00"
371,"Rheinberg, Stadt",47495,"75,24",31.356,15.353,16.003,"417,00"
372,"Nienburg (Weser), Stadt",31582,"64,53",31.354,15.205,16.149,"486,00"
373,"Herrenberg, Stadt",71083,"65,7",31.253,15.275,15.978,"476,00"
374,"Bramsche, Stadt",49565,"183,39",31.110,15.799,15.311,"170,00"
375,"Kreuztal, Stadt",57223,"71,07",31.082,15.409,15.673,"437,00"
376,"Einbeck, Stadt",37574,"231,92",31.076,15.156,15.920,"134,00"
377,"Schönebeck (Elbe), Stadt",39218,"86,02",31.063,15.010,16.053,"361,00"
378,"Geestland, Stadt",27607,"356,83",31.040,15.136,15.904,"87,00"
379,"Neuruppin, Stadt",16816,"305,25",31.037,15.208,15.829,"102,00"
380,"Gevelsberg, Stadt",58285,"26,34",30.966,15.076,15.890,1.176
381,"Riesa, Stadt",1589,"58,91",30.894,14.992,15.902,"524,00"
382,"Emmerich am Rhein, Stadt",46446,"80,4",30.852,15.583,15.269,"384,00"
383,"Werl, Stadt",59457,"76,35",30.843,15.776,15.067,"404,00"
384,"Radolfzell am Bodensee, Stadt",78315,"58,55",30.784,14.897,15.887,"526,00"
385,"Geesthacht, Stadt",21502,"33,25",30.453,14.917,15.536,"916,00"
386,"Haan, Stadt",42781,"24,19",30.414,14.574,15.840,1.257
387,"Osterholz-Scharmbeck, Stadt",27711,"147,17",30.398,14.921,15.477,"207,00"
388,"Lohmar, Stadt",53797,"65,62",30.395,14.968,15.427,"463,00"
389,"Burgdorf, Stadt",31303,"112,56",30.320,14.872,15.448,"269,00"
390,"Schwedt/Oder, Stadt",16303,"205,56",30.182,14.509,15.673,"147,00"
391,"Weil am Rhein, Stadt",79576,"19,46",30.164,14.621,15.543,1.550
392,"Meschede, Kreis- und  Hochschulstadt",59872,"218,5",30.081,14.893,15.188,"138,00"
393,"Ennepetal, Stadt der Kluterthöhle",58256,"57,77",29.901,14.581,15.320,"518,00"
394,"Werne, Stadt",59368,"76,14",29.858,14.488,15.370,"392,00"
395,"Merzig, Kreisstadt",66663,"108,98",29.812,14.742,15.070,"274,00"
396,"Andernach, Stadt",56626,"53,34",29.679,14.389,15.290,"556,00"
397,"Bad Hersfeld, Kreisstadt",36251,"73,82",29.615,14.477,15.138,"401,00"
398,"Neuburg a.d.Donau, GKSt",86633,"81,29",29.587,14.908,14.679,"364,00"
399,"Friedberg, St",86316,"81,25",29.510,14.438,15.072,"363,00"
400,"Taunusstein, Stadt",65232,"67,03",29.470,14.278,15.192,"440,00"
401,"Rietberg, Stadt",33397,"110,31",29.444,14.861,14.583,"267,00"
402,"Höxter, Stadt",37671,"158,16",29.420,14.564,14.856,"186,00"
403,"Gaggenau, Stadt",76571,"65,01",29.315,14.406,14.909,"451,00"
404,"Oelde, Stadt",59302,"102,77",29.265,14.670,14.595,"285,00"
405,"Waltrop, Stadt",45731,"47,09",29.245,14.195,15.050,"621,00"
406,"Tönisvorst, Stadt",47918,"44,34",29.235,14.239,14.996,"659,00"
407,"Güstrow, Stadt",18273,"71,09",29.215,14.139,15.076,"411,00"
408,"Vaihingen an der Enz, Stadt",71665,"73,4",29.041,14.469,14.572,"396,00"
409,"Northeim, Stadt",37154,"145,85",28.966,14.163,14.803,"199,00"
410,"Bretten, Stadt",75015,"71,1",28.959,14.416,14.543,"407,00"
411,"Bühl, Stadt",77815,"73,18",28.903,14.186,14.717,"395,00"
412,"Zeitz, Stadt",6712,"87,18",28.826,13.988,14.838,"331,00"
413,"Landsberg am Lech, GKSt",86899,"57,91",28.824,14.395,14.429,"498,00"
414,"Springe, Stadt",31832,"160,12",28.807,13.976,14.831,"180,00"
415,"Rösrath, Stadt",51503,"38,8",28.778,14.126,14.652,"742,00"
416,"Unterschleißheim, St",85716,"14,93",28.761,14.509,14.252,1.927
417,"Kelkheim (Taunus), Stadt",65779,"30,65",28.691,14.079,14.612,"936,00"
418,"Schwandorf, GKSt",92421,"123,81",28.621,14.291,14.330,"231,00"
419,"Friedberg (Hessen), Kreisstadt",61169,"50,17",28.596,14.279,14.317,"570,00"
420,"Schwelm, Stadt",58332,"20,49",28.477,13.722,14.755,1.390
421,"Idar-Oberstein, Stadt",55743,"91,58",28.373,13.880,14.493,"310,00"
422,"Grimma, Stadt",4668,"218,25",28.322,13.952,14.370,"130,00"
423,"Kevelaer, Stadt",47623,"100,64",28.287,13.916,14.371,"281,00"
424,"Rendsburg, Stadt",24768,"23,73",28.190,13.926,14.264,1.188
425,"Wegberg, Stadt",41844,"84,34",28.165,13.886,14.279,"334,00"
426,"Winnenden, Stadt",71364,"28,05",28.152,13.956,14.196,1.004
427,"Mühlheim am Main, Stadt",63165,"20,67",28.130,13.925,14.205,1.361
428,"Leichlingen (Rheinland), Blütenstadt",42799,"37,26",28.101,13.546,14.555,"754,00"
429,"Sundern (Sauerland), Stadt",59846,"193,27",28.000,14.069,13.931,"145,00"
430,"Meißen, Stadt",1662,"30,92",27.984,13.481,14.503,"905,00"
431,"Bad Neuenahr-Ahrweiler, Stadt",53474,"63,38",27.844,13.005,14.839,"439,00"
432,"Wetter (Ruhr), Stadt",58300,"31,55",27.785,13.680,14.105,"881,00"
433,"Königsbrunn, St",86343,"18,4",27.780,13.727,14.053,1.510
434,"Aschersleben, Stadt",6449,"156,22",27.751,13.399,14.352,"178,00"
435,"Baunatal, Stadt",34225,"38,26",27.704,13.408,14.296,"724,00"
436,"Rödermark, Stadt",63322,"29,99",27.579,13.468,14.111,"920,00"
437,"Geislingen an der Steige, Stadt",73312,"75,83",27.550,13.744,13.806,"363,00"
438,"Verden (Aller), Stadt",27283,"71,7",27.539,13.341,14.198,"384,00"
439,"Emmendingen, Stadt",79312,"33,78",27.511,13.301,14.210,"814,00"
440,"Reinbek, Stadt",21465,"31,23",27.366,13.460,13.906,"876,00"
441,"Olching, St",82140,"29,92",27.345,13.332,14.013,"914,00"
442,"Hattersheim am Main, Stadt",65795,"15,81",27.312,13.634,13.678,1.727
443,"Sangerhausen, Stadt",6526,"207,66",27.265,13.363,13.902,"131,00"
444,"Mechernich, Stadt",53894,"136,48",27.235,13.616,13.619,"200,00"
445,"Rheinbach, Stadt",53359,"69,72",27.217,13.530,13.687,"390,00"
446,"Neukirchen-Vluyn, Stadt",47506,"43,5",27.200,13.174,14.026,"625,00"
447,"Wangen im Allgäu, Stadt",88239,"101,35",27.135,13.207,13.928,"268,00"
448,"Overath, Stadt",51491,"68,88",27.118,13.375,13.743,"394,00"
449,"Griesheim, Stadt",64347,"21,55",27.103,13.567,13.536,1.258
450,"Leimen, Stadt",69181,"20,64",27.076,13.297,13.779,1.312
451,"Baesweiler, Stadt",52499,"27,76",27.029,13.197,13.832,"974,00"
452,"Geilenkirchen, Stadt",52511,"83,2",26.991,13.415,13.576,"324,00"
453,"Hamminkeln, Stadt",46499,"164,53",26.808,13.396,13.412,"163,00"
454,"Schloß Holte-Stukenbrock, Stadt",33758,"67,52",26.770,13.170,13.600,"396,00"
455,"Weinstadt, Stadt",71384,"31,71",26.750,13.144,13.606,"844,00"
456,"Wiesloch, Stadt",69168,"30,24",26.542,13.194,13.348,"878,00"
457,"Lohne (Oldenburg), Stadt",49393,"91,11",26.447,13.495,12.952,"290,00"
458,"Strausberg, Stadt",15344,"67,95",26.387,12.698,13.689,"388,00"
459,"Neckarsulm, Stadt",74172,"24,94",26.379,13.106,13.273,1.058
460,"Lauf a.d.Pegnitz, St",91207,"59,77",26.378,12.860,13.518,"441,00"
461,"Eisenhüttenstadt, Stadt",15890,"63,47",26.325,12.771,13.554,"415,00"
462,"Nordenham, Stadt",26954,"87,77",26.294,13.059,13.235,"300,00"
463,"Köthen (Anhalt), Stadt",6366,"78,44",26.281,12.841,13.440,"335,00"
464,"Staßfurt, Stadt",39418,"146,71",26.173,12.734,13.439,"178,00"
465,"Hennigsdorf, Stadt",16761,"31,47",26.139,12.816,13.323,"831,00"
466,"St. Wendel, Kreisstadt",66606,"113,53",26.106,12.808,13.298,"230,00"
467,"Heiligenhaus, Stadt",42579,"27,52",26.010,12.742,13.268,"945,00"
468,"Ilmenau, Stadt",98693,"62,73",25.946,13.484,12.462,"414,00"
469,"Remseck am Neckar, Stadt",71686,"22,82",25.876,12.761,13.115,1.134
470,"Butzbach, Friedrich-Ludwig-Weidig-Stadt",35510,"106,6",25.866,12.889,12.977,"243,00"
471,"Kulmbach, GKSt",95326,"92,77",25.853,12.498,13.355,"279,00"
472,"Mühlacker, Stadt",75417,"54,32",25.804,12.817,12.987,"475,00"
473,"Ehingen (Donau), Stadt",89584,"178,33",25.796,13.044,12.752,"145,00"
474,"Lennestadt, Stadt",57368,"135,59",25.755,12.957,12.798,"190,00"
475,"Heppenheim (Bergstraße), Kreisstadt",64646,"52,14",25.725,12.726,12.999,"493,00"
476,"Zittau, Stadt",2763,"66,75",25.723,12.564,13.159,"385,00"
477,"Selm, Stadt",59379,"60,41",25.714,12.525,13.189,"426,00"
478,"Bad Honnef, Stadt",53604,"48,17",25.705,12.349,13.356,"534,00"
479,"Hohen Neuendorf, Stadt",16540,"48,56",25.696,12.470,13.226,"529,00"
480,"Teltow, Stadt",14513,"21,6",25.667,12.605,13.062,1.188
481,"Brilon, Stadt",59929,"229,16",25.611,12.541,13.070,"112,00"
482,"Weiterstadt, Stadt",64331,"34,4",25.572,12.936,12.636,"743,00"
483,"Lübbecke, Stadt",32312,"65,04",25.555,12.413,13.142,"393,00"
484,"Plettenberg, Stadt",58840,"96,76",25.528,12.728,12.800,"264,00"
485,"Rinteln, Stadt",31737,"109,02",25.527,12.517,13.010,"234,00"
486,"Zirndorf, St",90513,"28,79",25.515,12.310,13.205,"886,00"
487,"Verl, Stadt",33415,"71,37",25.465,13.019,12.446,"357,00"
488,"Bingen am Rhein, Stadt",55411,"37,71",25.435,12.518,12.917,"674,00"
489,"Pfaffenhofen a.d.Ilm, St",85276,"92,64",25.409,12.663,12.746,"274,00"
490,"Werder (Havel), Stadt",14542,"117,05",25.345,12.508,12.837,"217,00"
491,"Petershagen, Stadt",32469,"211,94",25.335,12.752,12.583,"120,00"
492,"Achern, Stadt",77855,"65,24",25.319,12.563,12.756,"388,00"
493,"Friedrichsdorf, Stadt",61381,"30,16",25.284,12.472,12.812,"838,00"
494,"Lindau (Bodensee), GKSt",88131,"33,06",25.249,12.111,13.138,"764,00"
495,"Ludwigsfelde, Stadt",14974,"109,98",25.245,12.479,12.766,"230,00"
496,"Rottweil, Stadt",78628,"71,76",25.200,12.395,12.805,"351,00"
497,"Norden, Stadt",26506,"106,32",25.195,12.270,12.925,"237,00"
498,"Wiehl, Stadt",51674,"53,26",25.177,12.212,12.965,"473,00"
499,"Salzkotten, Stadt",33154,"109,8",25.106,12.421,12.685,"229,00"
500,"Roth, St",91154,"96,33",25.102,12.245,12.857,"261,00"
501,"Warstein, Stadt",59581,"158,03",25.041,12.525,12.516,"158,00"
502,"Sprockhövel, Stadt",45549,"47,94",25.032,12.074,12.958,"522,00"
503,"Bad Oldesloe, Stadt",23843,"52,6",25.005,12.180,12.825,"475,00"
504,"Ingelheim am Rhein, Stadt",55218,"49,86",24.998,12.337,12.661,"501,00"
505,"Schmallenberg, Stadt",57392,"303,1",24.997,12.689,12.308,"82,00"
506,"Saalfeld/Saale, Stadt",7318,"48,73",24.911,11.992,12.919,"511,00"
507,"Harsewinkel, Die Mähdrescherstadt",33428,"100,59",24.862,12.584,12.278,"247,00"
508,"Delitzsch, Stadt",4509,"85,92",24.815,12.140,12.675,"289,00"
509,"Weingarten, Stadt",88250,"12,16",24.808,11.890,12.918,2.040
510,"Schleswig, Stadt",24837,"24,3",24.773,12.071,12.702,1.019
511,"Senftenberg, Stadt",1968,"127,56",24.773,12.063,12.710,"194,00"
512,"Espelkamp, Stadt",32339,"84,21",24.766,12.092,12.674,"294,00"
513,"Ditzingen, Stadt",71254,"30,38",24.698,12.265,12.433,"813,00"
514,"Groß-Gerau, Stadt",64521,"54,48",24.695,12.283,12.412,"453,00"
515,"Horb am Neckar, Stadt",72160,"119,76",24.687,12.481,12.206,"206,00"
516,"Pfungstadt, Stadt",64319,"42,53",24.645,12.140,12.505,"579,00"
517,"Ellwangen (Jagst), Stadt",73479,"127,38",24.643,12.466,12.177,"193,00"
518,"Obertshausen, Stadt",63179,"13,62",24.573,11.976,12.597,1.804
519,"Idstein, Hochschulstadt",65510,"79,69",24.558,11.842,12.716,"308,00"
520,"Lüdinghausen, Stadt",59348,"140,54",24.556,12.215,12.341,"175,00"
521,"Meckenheim, Stadt",53340,"34,84",24.553,11.989,12.564,"705,00"
522,"Olpe, Stadt",57462,"85,88",24.511,11.931,12.580,"285,00"
523,"Geretsried, St",82538,"24,6",24.483,12.056,12.427,"995,00"
524,"Markkleeberg, Stadt",4416,"31,44",24.477,11.693,12.784,"779,00"
525,"Quedlinburg, Welterbestadt",6484,"120,44",24.411,11.618,12.793,"203,00"
526,"Arnstadt, Stadt",99310,"55,08",24.340,11.859,12.481,"442,00"
527,"Syke, Stadt",28857,"128,11",24.298,12.018,12.280,"190,00"
528,"Attendorn, Hansestadt",57439,"97,95",24.279,12.161,12.118,"248,00"
529,"Rathenow, Stadt",14712,"113,1",24.243,11.772,12.471,"214,00"
530,"Salzwedel, Hansestadt",29410,"304,58",24.199,12.028,12.171,"79,00"
531,"Stutensee, Stadt",76297,"45,68",24.199,11.980,12.219,"530,00"
532,"Übach-Palenberg, Stadt",52531,"26,12",24.198,12.167,12.031,"926,00"
533,"Limbach-Oberfrohna, Stadt",9212,"50,21",24.113,11.701,12.412,"480,00"
534,"Ronnenberg, Stadt",30952,"37,89",24.050,11.936,12.114,"635,00"
535,"Eisleben, Lutherstadt",6295,"143,87",23.940,11.692,12.248,"166,00"
536,"Varel, Stadt",26316,"113,75",23.936,11.646,12.290,"210,00"
537,"Waldshut-Tiengen, Stadt",79761,"77,97",23.873,11.738,12.135,"306,00"
538,"Döbeln, Stadt",4720,"91,74",23.823,11.698,12.125,"260,00"
